                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.1748,                 1.6662,                 3.0142,                  1.849,                0.25557,                0.32848,                0.14209,                0.05446,                0.40777,                0.24479,                0.16128,                0.05748,                 2.4651,                  1.574,                 4.6665,                 2.0787,             0.00016937,             0.00016937,             0.00016937
                     36,                 2.3555,                 1.3222,                 3.2297,                 1.7791,                0.35721,                0.24479,                0.14604,                0.06122,                0.35721,                0.24479,                0.15031,                0.06597,                 2.5707,                 1.5468,                  4.525,                 2.2227,             0.00017167,             0.00017167,             0.00017167
                     37,                 2.0747,                 1.3832,                 3.2574,                 1.7504,                0.35721,                0.24479,                0.14604,                0.06122,                0.35721,                0.24479,                0.15031,                0.06597,                 2.5707,                 1.5468,                  4.525,                 2.2227,             0.00017384,             0.00017384,             0.00017384
                     38,                 1.9681,                 1.4561,                 2.8272,                 1.7634,                0.40687,                0.30833,                0.16045,                0.06223,                0.40687,                0.30833,                0.16429,                0.05724,                 2.8113,                 1.5421,                 4.3953,                 2.4828,             0.00017585,             0.00017585,             0.00017585
                     39,                  2.045,                 1.3477,                 2.9367,                 1.8108,                0.35313,                0.24583,                0.15933,                0.05034,                  0.346,                  0.225,                 0.1488,                0.03888,                  2.968,                 1.5307,                 3.9796,                 2.6231,             0.00017772,             0.00017772,             0.00017772
                     40,                 2.0581,                 1.6532,                 2.8708,                 1.7504,                0.35313,                0.24583,                0.15933,                0.05034,                  0.346,                  0.225,                 0.1488,                0.03888,                  2.968,                 1.5307,                 3.9796,                 2.6231,             0.00017944,             0.00017944,             0.00017944
                     41,                 2.0444,                 1.1161,                 2.9822,                 1.7996,                0.26283,                0.29846,                0.17512,                0.05454,                0.32168,                0.26599,                0.14809,                 0.0412,                 2.8248,                 1.5304,                 3.6934,                 2.4949,             0.00018102,             0.00018102,             0.00018102
                     42,                  2.107,                 1.3842,                 2.9963,                 1.8729,                0.68154,                0.09465,                0.18419,                0.06661,                0.68154,                0.09465,                0.18008,                0.05734,                 2.6009,                 1.5575,                 3.4769,                 2.3197,             0.00018245,             0.00018245,             0.00018245
                     43,                 2.2101,                 1.8131,                 2.8943,                 1.8155,                0.68154,                0.09465,                0.18419,                0.06661,                0.68154,                0.09465,                0.18008,                0.05734,                 2.6009,                 1.5575,                 3.4769,                 2.3197,             0.00018373,             0.00018373,             0.00018373
                     44,                 1.8639,                 1.2143,                 2.8491,                 1.6976,                0.58477,                0.11146,                0.14371,                 0.0605,                0.58477,                0.11146,                0.14564,                0.03835,                 2.4016,                 1.6493,                 3.4523,                 2.1122,             0.00018487,             0.00018487,             0.00018487
